Title,Link
שניצלוני דג בציפוי צ'יפס,http://www.bazekalim.com/2014/01/11/fish-sticks/
עוגיות מרציפן וריבה,http://www.bazekalim.com/2014/01/03/jamarettis/
מרק צ'ילי עם בשר,http://www.bazekalim.com/2013/12/25/chili-beef-soup/
עוגת היער השחור,http://www.bazekalim.com/2013/11/25/black-forest-cake/
פד תאי משופצר,http://www.bazekalim.com/2013/11/01/pad-thai/
ללכת לאיבוד בטאיוואן – חלק ב',http://www.bazekalim.com/2013/10/09/lost-in-taiwan-part-2/
ללכת לאיבוד בטאיוואן – חלק א',http://www.bazekalim.com/2013/09/25/lost-in-taiwan/
אגוזים מג'ונג'רים,http://www.bazekalim.com/2013/09/04/gingered-nuts/
תורת המיץ הסחוט הביתי,http://www.bazekalim.com/2013/08/18/fuss-free-juicing-101/
רביולי מהיר בווינגרט בזיליקום,http://www.bazekalim.com/2013/08/09/quick-basil-ravioli/
גספאצ'ו – מרק עגבניות קר,http://www.bazekalim.com/2013/07/18/quick-gazpacho/
עוף בבוטנים עם פטנט,http://www.bazekalim.com/2013/07/08/easy-peanut-chicken/
עוגת פרי עם קרם ופירורים,http://www.bazekalim.com/2013/06/19/easy-crumb-cake/
"פולין, לא מה שחשבתם",http://www.bazekalim.com/2013/06/11/warsaw-culinary-tour/
גראטן ניוקי,http://www.bazekalim.com/2013/05/09/gnocchi-gratin/
עוגיות בננה בקלי קלות,http://www.bazekalim.com/2013/04/27/easy-banana-cookies/
תפריט מנגל מלא ל-12 איש,http://www.bazekalim.com/2013/04/14/special-bbq-project/
שפרד'ז פאי רומני,http://www.bazekalim.com/2013/04/05/chicken-polenta-skillet-pie/
עוגת מוס לימון,http://www.bazekalim.com/2013/03/24/passover-lemon-mousse-cake/
עוגיות קרים פאי,http://www.bazekalim.com/2013/03/19/oatmeal-cream-pies/
"חוברת ""בצק אלים"" – גליון מס' 3",http://www.bazekalim.com/2013/03/14/bazekalim-third-issue/
העוף שאהב תות,http://www.bazekalim.com/2013/03/06/strawberry-glazed-chicken/
אוזני המן מושלמות,http://www.bazekalim.com/2013/02/14/oznei-haman/
גלידת קרמבו בקלי-קלות,http://www.bazekalim.com/2013/02/02/krembo-ice-cream/
הכרובית של אייל שני,http://www.bazekalim.com/2013/01/26/eyals-extra-special-cauliflower/
רסק תפוחים ביתי + בונוסים,http://www.bazekalim.com/2013/01/18/homemade-applesauce/
"סופ""ש חלומי במחוז בראטן, צרפת",http://www.bazekalim.com/2013/01/10/bretagne-france/
פסטה ביתית ללא מכונה,http://www.bazekalim.com/2013/01/04/homemade-frascatelli/
סלט ברוקולי נא,http://www.bazekalim.com/2012/12/26/broccoli-slaw/
צ'וריסו קון פאפז,http://www.bazekalim.com/2012/12/14/chorizo-con-papas/
מקסיקו למתקדמים,http://www.bazekalim.com/2012/12/02/mexico/
פונדנט ריבת חלב,http://www.bazekalim.com/2012/10/19/molten-dolce-de-leche-cakes/
ריבועי סניקרס ביתיים,http://www.bazekalim.com/2012/09/23/homemade-snickers-bars/
עוף א לה גווינית',http://www.bazekalim.com/2012/08/11/chicken-a-la-gwyneth/
טארט דובדבנים פטנט ללא רידוד,http://www.bazekalim.com/2012/07/20/no-roll-cherry-tart/
"סלט ""פפאיה"" מזוייף",http://www.bazekalim.com/2012/06/07/mock-papaya-salad/
מלבי קורנפלקס מטריף,http://www.bazekalim.com/2012/05/25/cereal-milk-malabi/
הפבלובה המושלמת,http://www.bazekalim.com/2012/04/05/pavlova/
עוף בזעתר עם סלסת לימונים,http://www.bazekalim.com/2012/03/29/zaatar-chicken/
5 שנים לבצק אלים + חוברת חדשה,http://www.bazekalim.com/2012/03/25/bazekalim-second-issue/
צ'יקן פוט פאי,http://www.bazekalim.com/2012/02/08/chicken-pot-pie/
המלצות לפריז – סיבוב שני,http://www.bazekalim.com/2012/01/26/paris-round-two/
